"date","month_year","site_name","site_num","lat","lon","red_green","green_red"
2019-02-05,Feb 2019,"Orote Point",116,13.4488333,144.6263833,0.713458755426918,1.40162271805274
2019-02-05,Feb 2019,"Orote Point",106,13.4484167,144.6269333,0.724087591240876,1.38104838709677
2019-02-05,Feb 2019,"Sasa Bay",100,13.44725,144.6715,0.741976893453145,1.3477508650519
2019-02-05,Feb 2019,"Inner Harbor",32,13.4313667,144.6734167,0.577578475336323,1.73136645962733
2019-02-05,Feb 2019,"Inner Harbor",27,13.4308,144.674,0.611260053619303,1.6359649122807
2019-02-10,Feb 2019,"Sasa Bay",129,13.4490667,144.6666667,0.904269972451791,1.10586443259711
2019-02-10,Feb 2019,"Blue Hole",88,13.4370833,144.6236666,0.867992766726944,1.15208333333333
2019-02-10,Feb 2019,"Orote Point",110,13.4486667,144.6263667,0.614224137931034,1.6280701754386
2019-02-10,Feb 2019,"Blue Hole",82,13.43645,144.6253,0.979627473806752,1.02079619726679
2019-02-10,Feb 2019,"Blue Hole",83,13.4364833,144.6253167,0.988068181818182,1.01207590569293
2019-02-10,Feb 2019,"Blue Hole",86,13.4367667,144.624833,0.920841063698207,1.0859637340497
2019-02-10,Feb 2019,"Orote Point",205,13.4503167,144.6232833,0.586723768736617,1.7043795620438
2019-02-10,Feb 2019,"Middle Shoals",120,13.4488667,144.6569333,0.785714285714286,1.27272727272727
2019-02-10,Feb 2019,"Middle Shoals",162,13.4494167,144.6570166,0.769911504424779,1.29885057471264
2019-02-10,Feb 2019,"Middle Shoals",163,13.4494167,144.6569833,0.769911504424779,1.29885057471264
2019-02-10,Feb 2019,"Blue Hole",74,13.4359667,144.6259667,0.853829936753338,1.17119341563786
2019-02-10,Feb 2019,"Blue Hole",93,13.43965,144.62145,0.714788732394366,1.39901477832512
2019-02-10,Feb 2019,"Orote Point",159,13.44935,144.6254333,0.611713665943601,1.63475177304965
2019-02-10,Feb 2019,"Blue Hole",60,13.4356333,144.6264,0.995075913007797,1.00494845360825
2019-02-10,Feb 2019,"Orote Point",172,13.44955,144.6255833,0.607515657620042,1.64604810996564
2019-02-10,Feb 2019,"Blue Hole",52,13.434983,144.62595,1.02445369406868,0.97613001523616
2019-02-10,Feb 2019,"Blue Hole",53,13.4349833,144.626,1.02445369406868,0.97613001523616
2019-02-10,Feb 2019,"Blue Hole",84,13.4365333,144.6236666,0.903556771545828,1.10673732021196
2019-02-10,Feb 2019,"Orote Point",115,13.4488167,144.6260167,0.604700854700855,1.65371024734982
2019-02-10,Feb 2019,"Middle Shoals",103,13.4482333,144.6588666,0.733195449844881,1.3638928067701
2019-02-10,Feb 2019,"Blue Hole",92,13.4383167,144.6224833,0.8792965627498,1.13727272727273
2019-02-10,Feb 2019,"Blue Hole",91,13.4378167,144.62315,0.928352098259979,1.07717750826902
2019-02-10,Feb 2019,"Middle Shoals",118,13.4488333,144.6568666,0.785714285714286,1.27272727272727
2019-02-10,Feb 2019,"Middle Shoals",170,13.4495167,144.657166,0.730458221024259,1.3690036900369
2019-02-10,Feb 2019,"Middle Shoals",122,13.4489,144.6563167,0.759852216748768,1.3160453808752
2019-02-10,Feb 2019,"Middle Shoals",123,13.4489,144.6563167,0.759852216748768,1.3160453808752
2019-02-10,Feb 2019,"Blue Hole",76,13.4360167,144.627,0.965343767467859,1.03590040532716
2019-02-10,Feb 2019,"Orote Point",127,13.4490333,144.6259167,0.601239669421488,1.66323024054983
2019-02-10,Feb 2019,"Blue Hole",87,13.4370667,144.62455,0.943258084197682,1.0601552393273
2019-02-10,Feb 2019,"Orote Point",124,13.4489667,144.6263666,0.593814432989691,1.68402777777778
2019-02-10,Feb 2019,"Orote Point",130,13.4490667,144.6261333,0.631027253668763,1.58471760797342
2019-02-10,Feb 2019,"Orote Point",109,13.4485833,144.62645,0.612068965517241,1.63380281690141
2019-02-10,Feb 2019,"Blue Hole",64,13.43575,144.6254833,0.881791483113069,1.13405495420483
2019-02-10,Feb 2019,"Blue Hole",85,13.4366167,144.6250166,1.0015873015873,0.998415213946117
2019-02-10,Feb 2019,"Blue Hole",89,13.4374167,144.6244666,0.923127035830619,1.0832745236415
2019-02-10,Feb 2019,"Middle Shoals",125,13.4489833,144.6571666,0.785888077858881,1.27244582043344
2019-02-10,Feb 2019,"Middle Shoals",134,13.4491,144.6570167,0.738339021615472,1.35439137134052
2019-02-10,Feb 2019,"Middle Shoals",145,13.4492333,144.6572333,0.852697095435685,1.17274939172749
2019-02-10,Feb 2019,"Middle Shoals",132,13.44908,144.65746,0.949901768172888,1.05274043433299
2019-02-10,Feb 2019,"Middle Shoals",157,13.4493333,144.6571,0.801393728222996,1.24782608695652
2019-02-10,Feb 2019,"Orote Point",165,13.4494667,144.6252,0.594142259414226,1.6830985915493
2019-02-10,Feb 2019,"Orote Point",153,13.4492833,144.6254667,0.598272138228942,1.67148014440433
2019-02-10,Feb 2019,"Orote Point",144,13.4492167,144.6266333,0.608247422680412,1.64406779661017
2019-02-10,Feb 2019,"Orote Point",105,13.4483667,144.627,0.61304347826087,1.63120567375887
2019-02-10,Feb 2019,"Orote Point",206,13.450433,144.6248833,0.619047619047619,1.61538461538462
2019-02-10,Feb 2019,"Blue Hole",90,13.4377333,144.6215833,0.71830985915493,1.3921568627451
2019-02-10,Feb 2019,"Orote Point",199,13.4501333,144.6237333,0.607675906183369,1.64561403508772
2019-02-10,Feb 2019,"Blue Hole",71,13.435917,144.6210833,1.16346153846154,0.859504132231405
2019-02-10,Feb 2019,"Inner Harbor",49,13.43385,144.67235,0.950665188470067,1.05189504373178
2019-02-10,Feb 2019,"Middle Shoals",183,13.44975,144.6571,0.928905519176801,1.07653575025176
2019-02-10,Feb 2019,"Blue Hole",70,13.4359167,144.6263333,0.896921017402945,1.11492537313433
2019-02-10,Feb 2019,"Blue Hole",72,13.435933,144.6263666,0.896921017402945,1.11492537313433
2019-02-10,Feb 2019,"Blue Hole",75,13.4359833,144.6269,1.10989611809732,0.900985221674877
2019-02-10,Feb 2019,"Orote Point",136,13.44915,144.6257166,0.59043659043659,1.69366197183099
2019-02-10,Feb 2019,"Orote Point",164,13.44945,144.6262833,0.634854771784232,1.57516339869281
2019-02-10,Feb 2019,"Blue Hole",51,13.4349667,144.627117,0.924457741211668,1.08171521035599
2019-02-10,Feb 2019,"Orote Point",119,13.44885,144.6266667,0.613924050632911,1.62886597938144
2019-02-10,Feb 2019,"Orote Point",112,13.44875,144.62685,0.610278372591006,1.63859649122807
2019-02-10,Feb 2019,"Middle Shoals",102,13.4482167,144.65885,0.760675273088381,1.31462140992167
2019-02-10,Feb 2019,"Blue Hole",94,13.4406167,144.6207333,0.654882154882155,1.52699228791774
2019-02-10,Feb 2019,"Middle Shoals",111,13.4487,144.6569333,0.741826381059752,1.34802431610942
2019-02-10,Feb 2019,"Middle Shoals",151,13.4492833,144.65705,0.801393728222996,1.24782608695652
2019-02-10,Feb 2019,"Middle Shoals",138,13.4491667,144.6571833,0.808628318584071,1.23666210670315
2019-02-10,Feb 2019,"Middle Shoals",155,13.4493,144.6569333,0.827281648675172,1.20877817319098
2019-02-10,Feb 2019,"Orote Point",182,13.4497333,144.6251666,0.616033755274262,1.62328767123288
2019-02-10,Feb 2019,"Blue Hole",67,13.4358667,144.6263667,0.899497487437186,1.11173184357542
2019-02-10,Feb 2019,"Blue Hole",77,13.4360667,144.6264,0.901979719942057,1.10867237687366
2019-02-10,Feb 2019,"Blue Hole",78,13.4361,144.6263833,0.901979719942057,1.10867237687366
2019-02-10,Feb 2019,"Blue Hole",79,13.4361833,144.6271,0.962653288740245,1.03879559930515
2019-02-10,Feb 2019,"Blue Hole",69,13.4359167,144.6271333,0.95514950166113,1.04695652173913
2019-02-10,Feb 2019,"Blue Hole",66,13.4358,144.6271666,0.897865853658537,1.11375212224109
2019-02-10,Feb 2019,"Orote Point",141,13.4492,144.62585,0.614107883817427,1.62837837837838
2019-02-10,Feb 2019,"Blue Hole",55,13.4353,144.626666,1.12036591237362,0.892565535023636
2019-02-10,Feb 2019,"Middle Shoals",121,13.4488667,144.6533667,0.697771587743733,1.43313373253493
2019-02-10,Feb 2019,"Orote Point",158,13.44935,144.6256833,0.612970711297071,1.63139931740614
2019-02-10,Feb 2019,"Orote Point",166,13.4494833,144.62535,0.624463519313305,1.60137457044674
2019-02-10,Feb 2019,"Orote Point",126,13.4489833,144.6262666,0.612419700214133,1.63286713286713
2019-02-10,Feb 2019,"Middle Shoals",208,13.4504833,144.6570666,0.746208291203236,1.34010840108401
2019-02-10,Feb 2019,"Orote Point",107,13.44845,144.6267167,0.60475161987041,1.65357142857143
2019-02-10,Feb 2019,"Orote Point",108,13.4484667,144.6267167,0.60475161987041,1.65357142857143
2019-02-10,Feb 2019,"Orote Point",187,13.4498,144.6246833,0.606382978723404,1.64912280701754
2019-02-10,Feb 2019,"Orote Point",207,13.4504667,144.62335,0.59830866807611,1.67137809187279
