ID,UNIQUEID,POLYGONID,AREA,PERIMETER,ACRES,ISLAND,M_STRUCT,D_STRUCT,M_COVER,P_COVER,ZONE,COVER_TYPE,_Pleasecou,_Pleasesum,_Pleasemea,Site Name,Longitude,Latitude,intersection_area
"2152","2152","592",42221.530,2963.318,10.433,Guam,Coral Reef and Hardbottom,Aggregate Reef,Coral,10%-<50%,Bank/Shelf,Coral 10%-<50%,,,,Orote Point,144.626,13.4488,"3649"
"2152","2152","592",42221.530,2963.318,10.433,Guam,Coral Reef and Hardbottom,Aggregate Reef,Coral,10%-<50%,Bank/Shelf,Coral 10%-<50%,,,,Orote Point,144.6259,13.4492,"3320"
"2152","2152","592",42221.530,2963.318,10.433,Guam,Coral Reef and Hardbottom,Aggregate Reef,Coral,10%-<50%,Bank/Shelf,Coral 10%-<50%,,,,Orote Point,144.6269,13.4484,"2866"
"2152","2152","592",42221.530,2963.318,10.433,Guam,Coral Reef and Hardbottom,Aggregate Reef,Coral,10%-<50%,Bank/Shelf,Coral 10%-<50%,,,,Orote Point,144.6269,13.4488,"2341"
"2152","2152","592",42221.530,2963.318,10.433,Guam,Coral Reef and Hardbottom,Aggregate Reef,Coral,10%-<50%,Bank/Shelf,Coral 10%-<50%,,,,Orote Point,144.6255,13.4493,"4319"
"2253","2253","593",51779.604,2425.960,12.795,Guam,Coral Reef and Hardbottom,Spur and Groove,Coral,50%-<90%,Fore Reef,Coral 50%-<90%,,,,Orote Point,144.6247,13.45,"3427"
"2253","2253","593",51779.604,2425.960,12.795,Guam,Coral Reef and Hardbottom,Spur and Groove,Coral,50%-<90%,Fore Reef,Coral 50%-<90%,,,,Orote Point,144.6245,13.4499,"6898"
"2253","2253","593",51779.604,2425.960,12.795,Guam,Coral Reef and Hardbottom,Spur and Groove,Coral,50%-<90%,Fore Reef,Coral 50%-<90%,,,,Orote Point,144.6244,13.45,"6255"
"2253","2253","593",51779.604,2425.960,12.795,Guam,Coral Reef and Hardbottom,Spur and Groove,Coral,50%-<90%,Fore Reef,Coral 50%-<90%,,,,Orote Point,144.6257,13.4492,"4884"
"2253","2253","593",51779.604,2425.960,12.795,Guam,Coral Reef and Hardbottom,Spur and Groove,Coral,50%-<90%,Fore Reef,Coral 50%-<90%,,,,Orote Point,144.6261,13.4491,"4458"
"2253","2253","593",51779.604,2425.960,12.795,Guam,Coral Reef and Hardbottom,Spur and Groove,Coral,50%-<90%,Fore Reef,Coral 50%-<90%,,,,Orote Point,144.6264,13.449,"3954"
"2253","2253","593",51779.604,2425.960,12.795,Guam,Coral Reef and Hardbottom,Spur and Groove,Coral,50%-<90%,Fore Reef,Coral 50%-<90%,,,,Orote Point,144.6257,13.4494,"2875"
"2253","2253","593",51779.604,2425.960,12.795,Guam,Coral Reef and Hardbottom,Spur and Groove,Coral,50%-<90%,Fore Reef,Coral 50%-<90%,,,,Orote Point,144.626,13.4488,"6670"
"2253","2253","593",51779.604,2425.960,12.795,Guam,Coral Reef and Hardbottom,Spur and Groove,Coral,50%-<90%,Fore Reef,Coral 50%-<90%,,,,Orote Point,144.6259,13.4492,"4152"
"2253","2253","593",51779.604,2425.960,12.795,Guam,Coral Reef and Hardbottom,Spur and Groove,Coral,50%-<90%,Fore Reef,Coral 50%-<90%,,,,Orote Point,144.6269,13.4484,"6715"
"2253","2253","593",51779.604,2425.960,12.795,Guam,Coral Reef and Hardbottom,Spur and Groove,Coral,50%-<90%,Fore Reef,Coral 50%-<90%,,,,Orote Point,144.6269,13.4488,"2952"
"2253","2253","593",51779.604,2425.960,12.795,Guam,Coral Reef and Hardbottom,Spur and Groove,Coral,50%-<90%,Fore Reef,Coral 50%-<90%,,,,Orote Point,144.6255,13.4493,"4857"
"2352","2352","606",18156.081,625.832,4.486,Guam,Coral Reef and Hardbottom,Individual Patch Reef,Coral,10%-<50%,Reef Flat,Coral 10%-<50%,,,,Sasa Bay,144.6713,13.4472,"866"
"2622","2622","608",176256.273,5780.868,43.553,Guam,Coral Reef and Hardbottom,Pavement,Macroalgae,10%-<50%,Reef Flat,Macroalgae 10%-<50%,,,,Sasa Bay,144.6667,13.4491,"3493"
"2622","2622","608",176256.273,5780.868,43.553,Guam,Coral Reef and Hardbottom,Pavement,Macroalgae,10%-<50%,Reef Flat,Macroalgae 10%-<50%,,,,Sasa Bay,144.6743,13.4486,"2640"
"2622","2622","608",176256.273,5780.868,43.553,Guam,Coral Reef and Hardbottom,Pavement,Macroalgae,10%-<50%,Reef Flat,Macroalgae 10%-<50%,,,,Sasa Bay,144.6738,13.4492,"10694"
"2622","2622","608",176256.273,5780.868,43.553,Guam,Coral Reef and Hardbottom,Pavement,Macroalgae,10%-<50%,Reef Flat,Macroalgae 10%-<50%,,,,Sasa Bay,144.6739,13.4492,"8554"
"2622","2622","608",176256.273,5780.868,43.553,Guam,Coral Reef and Hardbottom,Pavement,Macroalgae,10%-<50%,Reef Flat,Macroalgae 10%-<50%,,,,Sasa Bay,144.6741,13.4496,"3251"
"2622","2622","608",176256.273,5780.868,43.553,Guam,Coral Reef and Hardbottom,Pavement,Macroalgae,10%-<50%,Reef Flat,Macroalgae 10%-<50%,,,,Sasa Bay,144.6741,13.4492,"4603"
"2622","2622","608",176256.273,5780.868,43.553,Guam,Coral Reef and Hardbottom,Pavement,Macroalgae,10%-<50%,Reef Flat,Macroalgae 10%-<50%,,,,Sasa Bay,144.6741,13.4496,"3251"
"2622","2622","608",176256.273,5780.868,43.553,Guam,Coral Reef and Hardbottom,Pavement,Macroalgae,10%-<50%,Reef Flat,Macroalgae 10%-<50%,,,,Sasa Bay,144.6742,13.4499,"1271"
"2622","2622","612",9058.874,528.978,2.238,Guam,Coral Reef and Hardbottom,Pavement,Macroalgae,10%-<50%,Reef Flat,Macroalgae 10%-<50%,,,,Sasa Bay,144.6744,13.447,"570"
"2622","2622","612",9058.874,528.978,2.238,Guam,Coral Reef and Hardbottom,Pavement,Macroalgae,10%-<50%,Reef Flat,Macroalgae 10%-<50%,,,,Sasa Bay,144.6744,13.447,"570"
"2663","2663","613",332344.703,12508.747,82.122,Guam,Coral Reef and Hardbottom,Pavement,Turf,50%-<90%,Reef Flat,Turf 50%-<90%,,,,Sasa Bay,144.6744,13.447,"1101"
"2663","2663","613",332344.703,12508.747,82.122,Guam,Coral Reef and Hardbottom,Pavement,Turf,50%-<90%,Reef Flat,Turf 50%-<90%,,,,Sasa Bay,144.675,13.4468,"6946"
