"plate","well_position","sample","sample_old","field_collection_month","site","filter_half","target","Cq","quantity","positive","dCq"
"P20190530_HH_FebMarch2019FC","D21","201903_IH_ECa","20190307_IH_ECa",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D22","201903_IH_ECa","20190307_IH_ECa",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D23","201903_IH_EBa","20190307_IH_EBa",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D24","201903_IH_EBa","20190307_IH_EBa",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E1","201903_IH_1a","20190307_IH_1a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E2","201903_IH_1a","20190307_IH_1a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E3","201903_IH_2a","20190307_IH_2a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E4","201903_IH_2a","20190307_IH_2a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E5","201903_IH_3a","20190307_IH_3a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E6","201903_IH_3a","20190307_IH_3a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E7","201903_IH_4a","20190307_IH_4a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E8","201903_IH_4a","20190307_IH_4a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E9","201903_IH_5a","20190307_IH_5a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E10","201903_IH_5a","20190307_IH_5a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E11","201903_IH_6a","20190307_IH_6a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E12","201903_IH_6a","20190307_IH_6a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E13","201903_IH_7a","20190307_IH_7a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E14","201903_IH_7a","20190307_IH_7a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E15","201903_IH_8a","20190307_IH_8a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E16","201903_IH_8a","20190307_IH_8a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E17","201903_IH_9a","20190307_IH_9a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E18","201903_IH_9a","20190307_IH_9a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E19","201903_IH_10a","20190307_IH_10a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E20","201903_IH_10a","20190307_IH_10a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E21","201903_IH_ECa","20190307_IH_ECa",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E22","201903_IH_ECa","20190307_IH_ECa",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E23","201903_IH_EBa","20190307_IH_EBa",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","E24","201903_IH_EBa","20190307_IH_EBa",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F1","201903_IH_1a","20190307_IH_1a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F2","201903_IH_1a","20190307_IH_1a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F3","201903_IH_2a","20190307_IH_2a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F4","201903_IH_2a","20190307_IH_2a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F5","201903_IH_3a","20190307_IH_3a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F6","201903_IH_3a","20190307_IH_3a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",49.719490088126,NA,1,NA
"P20190530_HH_FebMarch2019FC","F7","201903_IH_4a","20190307_IH_4a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F8","201903_IH_4a","20190307_IH_4a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F9","201903_IH_5a","20190307_IH_5a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F10","201903_IH_5a","20190307_IH_5a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F11","201903_IH_6a","20190307_IH_6a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F12","201903_IH_6a","20190307_IH_6a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",44.4638959726852,NA,1,NA
"P20190530_HH_FebMarch2019FC","F13","201903_IH_7a","20190307_IH_7a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F14","201903_IH_7a","20190307_IH_7a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F15","201903_IH_8a","20190307_IH_8a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F16","201903_IH_8a","20190307_IH_8a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F17","201903_IH_9a","20190307_IH_9a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F18","201903_IH_9a","20190307_IH_9a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F19","201903_IH_10a","20190307_IH_10a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F20","201903_IH_10a","20190307_IH_10a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F21","201903_IH_ECa","20190307_IH_ECa",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F22","201903_IH_ECa","20190307_IH_ECa",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F23","201903_IH_EBa","20190307_IH_EBa",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","F24","201903_IH_EBa","20190307_IH_EBa",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G1","201902_MS_1a","20190228_MS_1a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G2","201902_MS_1a","20190228_MS_1a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G3","201902_MS_2a","20190228_MS_2a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G4","201902_MS_2a","20190228_MS_2a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G5","201902_MS_3a","20190228_MS_3a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G6","201902_MS_3a","20190228_MS_3a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G7","201902_MS_4a","20190228_MS_4a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G8","201902_MS_4a","20190228_MS_4a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G9","201902_MS_5a","20190228_MS_5a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G10","201902_MS_5a","20190228_MS_5a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G11","201902_MS_6a","20190228_MS_6a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G12","201902_MS_6a","20190228_MS_6a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G13","201902_MS_7a","20190228_MS_7a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
